Region,Sales Channel,Company/Provider,Category,Segment,Volume Sales (Liters),Avg Price Per Liter (VND),Growth Rate (%),Numeric Distribution (%),Weighted Distribution (%),Out-of-Stock Rate (%),Market Share (%),Share of Shelf (%),Trial Rate (%),Repeat Rate (%),Sales Value (USD),Time,Volume Sales (Raw),Innovation Type
north,Traditional Trade,TinyStartups,tea,Green Tea,33322,13595,15.0,71.24,57.35,29.58,3.08,32.65,29.63,24.81,string_value,August 2021,85 kiloliters,New Flavor
south,Modern Trade,BigCo,WATER,Diet Soda,112926,9621,-2.5,61.81,27.09,0.6,21.48,13.27,24.95,49.96,string_value,2021-08-01,85 kiloliters,Upsize
South,Modern Trade,FreshDrinks,TEA,Diet Soda,58268,15668,5.0,82.16,81.08,1.71,1.99,21.39,28.77,24.01,string_value,2021/11/15,70000 liters,New Flavor
south,Modern Trade,TinyStartups,Tea,Herbal Tea,30529,16235,unknown,44.95,55.53,35.12,25.43,27.37,57.04,20.32,1200000,2022-03,85000 liters,New Flavor
north,Traditional Trade,FreshDrinks,SOFT DRINKS,Green Tea,25531,16866,-2.5,30.75,76.56,13.95,14.51,3.0,57.69,39.39,300000.50,2021/11/15,85000 liters,Completely New
Central,Modern Trade,FreshDrinks,WATER,Flavored Water,50900,15320,-2.5,84.36,45.77,28.97,3.71,16.32,40.87,23.56,500000.0,2020-12,85000 liters,Downsize
Central,Traditional Trade,FreshDrinks,WATER,Flavored Water,87278,16886,unknown,87.52,28.76,10.11,21.5,28.44,47.92,34.38,300000.50,2020-12,70 kiloliters,Upsize
NORTH,Modern Trade,MegaBeverages,water,Flavored Water,114963,11806,unknown,34.16,22.9,13.51,15.19,11.6,44.08,22.48,300000.50,2021/11/15,70000 liters,Upsize
south,Traditional Trade,TinyStartups,WATER,Diet Soda,37151,18305,15.0,72.76,39.71,25.23,6.54,38.39,59.92,23.51,1200000,August 2021,70000 liters,New Segment
Central,Modern Trade,BigCo,Tea,Green Tea,82252,12223,10.5,56.47,37.1,48.78,1.45,3.15,45.91,25.79,300000.50,August 2021,85 kiloliters,Upsize
NORTH,Modern Trade,BigCo,tea,Green Tea,47945,19754,-2.5,85.57,59.22,30.81,13.12,38.41,38.19,23.12,100000,2021-08-01,70 kiloliters,New Flavor
central,Traditional Trade,BigCo,SOFT DRINKS,Diet Soda,40856,17972,5.0,91.21,21.52,46.81,3.48,10.24,51.48,42.53,string_value,2021-08-01,70 kiloliters,New Flavor
NORTH,Traditional Trade,MegaBeverages,SOFT DRINKS,Flavored Water,45062,11279,15.0,89.57,56.44,47.97,3.73,3.86,61.06,26.99,string_value,2021-08-01,85000 liters,New Segment
South,Traditional Trade,MegaBeverages,water,Flavored Water,80846,21157,0,84.4,47.42,10.41,8.75,13.11,65.11,24.67,1200000,2022-03,85 kiloliters,New Flavor
central,Traditional Trade,TinyStartups,SOFT DRINKS,Herbal Tea,54045,16748,0,48.83,60.4,15.56,19.28,31.88,55.19,36.13,string_value,August 2021,70000 liters,New Flavor
NORTH,Traditional Trade,MegaBeverages,SOFT DRINKS,Sparkling Water,123876,13109,10.5,86.83,69.17,38.5,16.37,30.59,33.52,41.79,100000,2021/11/15,70 kiloliters,Upsize
Central,Traditional Trade,MegaBeverages,Water,Green Tea,60639,14978,15.0,67.34,64.39,43.34,3.0,9.94,50.35,43.39,1200000,2020-12,85000 liters,New Flavor
Central,Modern Trade,BigCo,water,Green Tea,101827,22352,10.5,33.69,88.93,25.96,29.08,9.48,61.68,31.18,500000.0,August 2021,70000 liters,Completely New
Central,Traditional Trade,MegaBeverages,Soft Drinks,Green Tea,22105,21695,-2.5,61.99,29.68,49.66,26.73,26.42,28.96,28.08,string_value,August 2021,85000 liters,Downsize
Central,Modern Trade,FreshDrinks,TEA,Sparkling Water,82097,14531,5.0,95.95,50.08,0.58,8.52,19.41,41.88,34.44,300000.50,August 2021,70000 liters,New Flavor
North,Modern Trade,BigCo,Soft Drinks,Herbal Tea,68713,16044,unknown,92.15,49.74,14.98,4.55,32.11,41.02,43.91,100000,2021-08-01,85000 liters,New Flavor
South,Traditional Trade,BigCo,SOFT DRINKS,Sparkling Water,45134,18681,0,37.16,49.19,31.16,28.33,2.92,62.43,28.74,100000,2022-03,70000 liters,Downsize
North,Modern Trade,BigCo,tea,Flavored Water,112203,8555,unknown,82.09,66.47,23.46,14.37,25.2,24.7,28.69,string_value,2021/11/15,85 kiloliters,Upsize
NORTH,Traditional Trade,BigCo,tea,Flavored Water,34335,21622,-2.5,86.41,54.29,5.83,10.02,29.77,49.99,44.95,500000.0,2021-08-01,70000 liters,New Segment
north,Traditional Trade,MegaBeverages,water,Green Tea,47132,21959,15.0,49.0,56.22,18.39,15.22,39.75,48.37,32.21,300000.50,2022-03,70000 liters,Downsize
south,Modern Trade,BigCo,Water,Diet Soda,67431,8118,15.0,63.01,50.26,1.27,23.41,27.79,53.3,46.12,500000.0,August 2021,70000 liters,Upsize
CENTRAL,Modern Trade,FreshDrinks,Soft Drinks,Green Tea,63502,11637,10.5,79.77,89.42,32.14,5.88,10.81,32.45,47.42,500000.0,2022-03,85000 liters,Completely New
Central,Traditional Trade,TinyStartups,TEA,Diet Soda,109584,12076,5.0,60.73,84.93,44.64,23.26,6.11,47.05,32.91,string_value,2021-08-01,70 kiloliters,Upsize
central,Traditional Trade,MegaBeverages,water,Sparkling Water,130071,15688,15.0,37.9,41.54,44.24,22.73,26.35,28.7,34.47,300000.50,August 2021,70000 liters,Upsize
South,Modern Trade,SmallBrand,Soft Drinks,Flavored Water,22757,20630,5.0,79.41,27.81,34.98,16.64,21.88,56.86,33.46,string_value,2021-08-01,70000 liters,Downsize
central,Modern Trade,MegaBeverages,TEA,Diet Soda,47650,9014,5.0,93.81,78.78,23.29,26.11,36.17,48.26,31.16,string_value,2021/11/15,85 kiloliters,Repackage
South,Modern Trade,MegaBeverages,Soft Drinks,Sparkling Water,46022,28146,10.5,75.67,89.8,25.6,4.83,29.61,46.87,23.75,100000,August 2021,70000 liters,Downsize
CENTRAL,Modern Trade,SmallBrand,WATER,Flavored Water,46544,26266,5.0,84.17,40.48,6.85,18.27,21.37,24.19,29.37,string_value,2022-03,85 kiloliters,Downsize
Central,Traditional Trade,BigCo,Water,Diet Soda,80816,16759,15.0,55.09,45.04,17.05,14.03,17.34,39.52,26.09,1200000,2021-08-01,70000 liters,Upsize
north,Traditional Trade,SmallBrand,Tea,Green Tea,127380,16995,5.0,42.82,85.91,9.39,13.25,17.37,18.12,21.4,300000.50,2020-12,85000 liters,Upsize
South,Traditional Trade,BigCo,Soft Drinks,Green Tea,74623,13477,-2.5,74.99,69.78,41.06,8.32,10.6,34.02,45.07,100000,2022-03,70 kiloliters,New Flavor
north,Traditional Trade,MegaBeverages,tea,Green Tea,19238,18065,5.0,52.94,40.69,45.74,11.8,2.66,68.32,22.88,300000.50,2022-03,70 kiloliters,Downsize
North,Modern Trade,BigCo,water,Sparkling Water,65409,14758,5.0,90.21,60.67,26.85,4.14,23.85,68.82,38.85,100000,August 2021,70 kiloliters,New Flavor
north,Modern Trade,FreshDrinks,Water,Green Tea,86867,14265,unknown,38.58,86.1,36.39,8.3,10.07,29.31,21.98,1200000,2022-03,85000 liters,New Flavor
south,Traditional Trade,FreshDrinks,SOFT DRINKS,Herbal Tea,38569,15320,10.5,60.34,76.83,6.07,8.89,9.92,18.81,37.69,string_value,2021-08-01,85 kiloliters,Completely New
south,Traditional Trade,FreshDrinks,SOFT DRINKS,Flavored Water,50798,12679,5.0,57.77,71.93,30.43,21.9,6.76,42.01,36.2,100000,2020-12,70 kiloliters,Upsize
Central,Traditional Trade,MegaBeverages,soft drinks,Sparkling Water,78419,7321,-2.5,95.66,71.59,35.14,2.41,9.2,50.14,22.29,100000,2021/11/15,85000 liters,New Flavor
north,Traditional Trade,MegaBeverages,tea,Green Tea,37135,9811,5.0,40.72,32.46,22.64,19.88,3.21,57.75,35.36,100000,2020-12,85000 liters,New Flavor
Central,Traditional Trade,BigCo,soft drinks,Flavored Water,114232,12296,5.0,30.69,77.73,12.16,7.42,27.62,32.46,23.17,1200000,2021-08-01,70000 liters,Upsize
NORTH,Traditional Trade,MegaBeverages,Soft Drinks,Diet Soda,49593,12719,5.0,46.67,39.33,43.87,3.37,17.25,34.46,34.99,300000.50,August 2021,85 kiloliters,Upsize
SOUTH,Traditional Trade,SmallBrand,WATER,Green Tea,83409,15774,10.5,87.42,85.13,37.15,9.72,23.34,40.45,34.81,1200000,2021-08-01,85000 liters,New Flavor
south,Traditional Trade,MegaBeverages,water,Flavored Water,34578,9240,0,44.65,45.52,44.99,7.51,26.2,70.93,29.87,100000,2022-03,85 kiloliters,New Flavor
South,Traditional Trade,TinyStartups,Soft Drinks,Herbal Tea,51353,17866,5.0,46.86,80.04,40.92,17.01,38.95,51.92,34.03,100000,August 2021,70 kiloliters,New Flavor
north,Modern Trade,TinyStartups,soft drinks,Diet Soda,53103,19623,unknown,39.09,38.64,49.52,11.36,4.59,38.31,37.26,string_value,2021/11/15,70 kiloliters,New Flavor
South,Traditional Trade,MegaBeverages,WATER,Herbal Tea,77394,13151,unknown,80.08,56.02,9.61,29.01,17.88,56.9,27.53,1200000,2021/11/15,70 kiloliters,New Flavor
North,Modern Trade,FreshDrinks,SOFT DRINKS,Flavored Water,99312,3642,0,34.84,27.48,4.34,28.94,11.34,32.89,31.21,1200000,2021-08-01,70000 liters,Upsize
CENTRAL,Modern Trade,BigCo,tea,Herbal Tea,56783,19940,10.5,53.18,66.21,16.85,13.87,20.12,32.19,23.38,500000.0,2022-03,70000 liters,New Flavor
North,Traditional Trade,BigCo,Tea,Flavored Water,40057,15389,15.0,49.77,78.53,6.45,24.06,36.98,62.88,49.13,300000.50,2021/11/15,85 kiloliters,New Flavor
Central,Traditional Trade,BigCo,TEA,Flavored Water,72272,13050,unknown,68.86,70.29,26.16,1.38,29.51,43.43,37.58,500000.0,2020-12,85 kiloliters,Repackage
north,Modern Trade,MegaBeverages,SOFT DRINKS,Herbal Tea,33856,14618,0,81.13,56.63,31.65,16.89,27.15,28.48,35.65,500000.0,August 2021,70000 liters,Repackage
central,Modern Trade,MegaBeverages,WATER,Flavored Water,73682,12039,15.0,67.3,23.16,28.91,22.56,18.77,43.77,40.27,300000.50,2020-12,85000 liters,New Flavor
South,Traditional Trade,MegaBeverages,soft drinks,Green Tea,73406,7803,-2.5,95.17,85.34,12.96,7.29,27.5,41.16,29.8,string_value,2021/11/15,85 kiloliters,New Flavor
CENTRAL,Modern Trade,MegaBeverages,Soft Drinks,Flavored Water,30825,19485,unknown,96.6,69.38,45.44,2.77,3.23,36.28,21.68,string_value,2021/11/15,85 kiloliters,Downsize
south,Traditional Trade,MegaBeverages,Water,Sparkling Water,45191,18580,10.5,55.3,72.21,1.06,5.52,24.28,66.23,47.81,300000.50,2021-08-01,70 kiloliters,Downsize
south,Traditional Trade,FreshDrinks,Water,Flavored Water,41965,13511,5.0,84.44,75.63,17.4,13.81,23.04,65.43,31.15,300000.50,2021-08-01,85 kiloliters,Completely New
CENTRAL,Traditional Trade,FreshDrinks,Water,Sparkling Water,61083,13993,5.0,81.72,72.34,35.95,15.68,15.17,21.35,38.63,1200000,August 2021,85 kiloliters,Upsize
north,Modern Trade,BigCo,Tea,Flavored Water,18008,22790,10.5,92.51,50.88,38.35,12.05,9.66,32.97,36.72,1200000,2021-08-01,85000 liters,Downsize
North,Modern Trade,BigCo,soft drinks,Flavored Water,53183,11563,unknown,61.36,71.35,20.81,13.76,32.69,22.89,46.8,1200000,2022-03,85 kiloliters,Repackage
North,Traditional Trade,FreshDrinks,water,Herbal Tea,116673,10742,-2.5,67.13,63.75,0.85,14.64,4.05,23.62,35.74,1200000,August 2021,85000 liters,Upsize
North,Modern Trade,MegaBeverages,Soft Drinks,Green Tea,81665,16956,5.0,59.1,79.78,30.9,23.31,4.65,57.56,44.25,100000,2022-03,70 kiloliters,New Flavor
north,Modern Trade,FreshDrinks,Tea,Green Tea,106926,14092,10.5,89.53,76.17,3.15,4.05,18.74,30.33,48.4,100000,2021-08-01,70000 liters,Upsize
south,Modern Trade,MegaBeverages,tea,Diet Soda,34888,13706,unknown,46.08,22.9,5.39,23.3,11.6,64.84,35.21,string_value,August 2021,70 kiloliters,New Flavor
north,Modern Trade,MegaBeverages,water,Herbal Tea,78413,18206,0,46.78,46.52,32.51,20.97,30.33,58.6,20.54,100000,2021/11/15,85000 liters,New Flavor
south,Modern Trade,BigCo,Water,Herbal Tea,26323,12018,5.0,56.08,22.43,15.62,22.51,26.1,23.31,44.6,100000,2020-12,85000 liters,New Segment
South,Modern Trade,BigCo,Soft Drinks,Green Tea,44999,16441,15.0,46.12,27.15,17.4,22.3,31.36,42.46,43.26,1200000,2021/11/15,85 kiloliters,New Flavor
SOUTH,Modern Trade,FreshDrinks,water,Herbal Tea,43173,7721,5.0,69.27,62.1,24.34,14.65,14.34,39.03,30.84,1200000,2022-03,85 kiloliters,New Flavor
Central,Traditional Trade,MegaBeverages,SOFT DRINKS,Green Tea,71757,15739,unknown,39.41,81.17,48.93,7.13,30.14,55.77,40.41,300000.50,2021/11/15,70000 liters,Repackage
central,Modern Trade,FreshDrinks,Water,Herbal Tea,88064,12588,5.0,52.41,28.39,48.27,16.56,34.77,42.21,27.84,1200000,2021/11/15,85000 liters,Upsize
South,Modern Trade,TinyStartups,SOFT DRINKS,Flavored Water,71012,15553,5.0,93.94,51.58,20.81,28.78,15.12,38.21,45.63,300000.50,2020-12,85000 liters,New Flavor
CENTRAL,Modern Trade,MegaBeverages,Soft Drinks,Green Tea,79101,9568,15.0,58.65,83.76,13.27,18.07,14.92,54.28,49.14,300000.50,2020-12,70 kiloliters,New Flavor
North,Modern Trade,FreshDrinks,Soft Drinks,Green Tea,67924,11956,-2.5,82.38,77.0,15.13,1.32,36.2,58.51,43.93,100000,2021/11/15,70000 liters,New Flavor
NORTH,Modern Trade,MegaBeverages,Soft Drinks,Sparkling Water,76402,8689,10.5,37.94,56.38,13.44,2.73,3.89,55.57,43.24,1200000,2020-12,70 kiloliters,New Flavor
south,Modern Trade,MegaBeverages,Tea,Herbal Tea,39379,15286,0,47.33,74.01,26.61,29.79,15.31,26.31,22.13,100000,2021/11/15,85 kiloliters,Repackage
North,Modern Trade,FreshDrinks,SOFT DRINKS,Herbal Tea,60802,15195,5.0,86.51,56.59,30.34,3.09,6.51,44.57,42.79,1200000,August 2021,85 kiloliters,New Flavor
South,Modern Trade,MegaBeverages,water,Green Tea,40268,10379,0,83.41,31.07,24.44,2.34,3.1,62.21,20.24,100000,2021/11/15,70 kiloliters,Downsize
South,Traditional Trade,MegaBeverages,tea,Flavored Water,85873,15924,0,57.03,28.73,20.4,11.24,6.29,57.32,37.63,100000,2021-08-01,85 kiloliters,New Flavor
North,Modern Trade,BigCo,TEA,Flavored Water,88218,15865,10.5,96.81,33.19,10.56,29.11,18.39,35.05,40.7,100000,2020-12,70 kiloliters,Completely New
central,Modern Trade,MegaBeverages,soft drinks,Flavored Water,20882,20106,5.0,93.75,44.56,24.13,10.24,28.1,28.07,45.23,string_value,2020-12,85000 liters,Downsize
NORTH,Modern Trade,TinyStartups,tea,Herbal Tea,68098,13072,5.0,97.36,85.14,17.06,12.89,12.99,30.93,22.56,100000,2022-03,85000 liters,Completely New
NORTH,Modern Trade,TinyStartups,soft drinks,Sparkling Water,74691,13555,-2.5,59.95,75.98,27.08,19.39,34.29,35.48,48.5,500000.0,2022-03,85 kiloliters,Upsize
South,Traditional Trade,FreshDrinks,water,Green Tea,65583,12515,5.0,43.82,50.3,33.76,1.7,18.63,44.15,35.89,500000.0,2021-08-01,70000 liters,Repackage
south,Traditional Trade,FreshDrinks,soft drinks,Diet Soda,35136,18033,0,73.87,54.52,31.67,27.04,38.79,32.49,28.1,500000.0,2020-12,85000 liters,Repackage
SOUTH,Traditional Trade,MegaBeverages,Tea,Sparkling Water,59393,14286,-2.5,77.93,38.59,23.12,16.06,38.26,22.67,36.64,300000.50,2020-12,85 kiloliters,New Segment
SOUTH,Traditional Trade,MegaBeverages,WATER,Diet Soda,85309,15726,10.5,38.78,69.3,27.8,14.54,31.38,32.0,42.34,100000,2022-03,70000 liters,New Flavor
CENTRAL,Traditional Trade,BigCo,soft drinks,Sparkling Water,80571,15040,10.5,85.05,76.19,14.24,25.96,37.43,40.12,38.19,500000.0,2022-03,85 kiloliters,New Flavor
CENTRAL,Traditional Trade,MegaBeverages,water,Flavored Water,76210,10720,-2.5,31.26,36.72,1.21,28.64,28.87,33.53,42.18,300000.50,2021/11/15,70 kiloliters,New Flavor
CENTRAL,Traditional Trade,MegaBeverages,water,Herbal Tea,83283,14449,10.5,63.79,22.93,31.25,13.28,36.03,42.68,41.2,500000.0,2020-12,85 kiloliters,New Flavor
SOUTH,Traditional Trade,SmallBrand,Tea,Diet Soda,32258,11658,15.0,53.17,63.67,12.63,6.0,10.99,29.96,26.67,1200000,2020-12,70 kiloliters,New Segment
south,Traditional Trade,MegaBeverages,water,Sparkling Water,31348,21084,5.0,81.82,59.38,33.45,24.66,15.13,41.42,22.57,string_value,2021/11/15,85000 liters,Downsize
South,Traditional Trade,MegaBeverages,tea,Herbal Tea,52550,16499,5.0,51.89,48.15,37.35,12.69,30.61,28.44,35.25,100000,2020-12,85000 liters,Downsize
CENTRAL,Traditional Trade,MegaBeverages,WATER,Diet Soda,34991,10103,unknown,87.88,65.07,45.8,28.13,18.13,56.14,42.0,string_value,2021-08-01,85 kiloliters,New Flavor
south,Traditional Trade,FreshDrinks,Soft Drinks,Green Tea,65794,9569,-2.5,71.65,58.54,47.91,28.55,33.82,47.06,37.73,string_value,2022-03,70000 liters,New Flavor
north,Traditional Trade,FreshDrinks,water,Sparkling Water,53427,16629,10.5,85.57,37.54,0.53,4.33,35.35,75.41,28.07,1200000,2022-03,85 kiloliters,New Flavor
North,Traditional Trade,BigCo,SOFT DRINKS,Green Tea,81693,11944,15.0,99.25,47.84,49.52,28.74,13.39,50.13,23.59,1200000,2022-03,85 kiloliters,Upsize
South,Traditional Trade,MegaBeverages,SOFT DRINKS,Flavored Water,63304,12422,5.0,77.54,49.97,34.15,11.68,33.29,53.5,39.93,1200000,August 2021,85000 liters,New Segment
NORTH,Traditional Trade,TinyStartups,WATER,Green Tea,84061,18033,15.0,98.95,81.62,32.18,19.74,7.86,53.2,37.18,300000.50,2021-08-01,85000 liters,New Flavor
North,Modern Trade,MegaBeverages,SOFT DRINKS,Green Tea,26459,18080,-2.5,32.02,87.26,0.76,2.01,14.7,42.17,40.78,500000.0,2021-08-01,85 kiloliters,Downsize
Central,Traditional Trade,BigCo,water,Sparkling Water,59788,12060,unknown,53.67,82.51,43.06,26.78,21.68,35.35,33.91,100000,2021/11/15,85000 liters,Upsize
south,Modern Trade,FreshDrinks,WATER,Flavored Water,43199,23236,15.0,37.55,70.34,7.27,19.61,10.6,25.41,37.94,1200000,August 2021,70 kiloliters,Repackage
south,Traditional Trade,TinyStartups,Soft Drinks,Green Tea,39946,12903,unknown,48.36,60.95,41.87,19.66,24.01,77.82,43.19,100000,2020-12,85 kiloliters,New Flavor
central,Traditional Trade,BigCo,Soft Drinks,Herbal Tea,84166,14656,5.0,88.72,68.25,0.78,27.16,23.99,20.9,21.29,100000,2021-08-01,85000 liters,Upsize
NORTH,Modern Trade,FreshDrinks,tea,Diet Soda,79299,11266,10.5,32.26,85.74,32.3,15.74,9.86,34.51,22.59,100000,August 2021,85 kiloliters,New Flavor
NORTH,Traditional Trade,TinyStartups,SOFT DRINKS,Green Tea,134894,10593,15.0,66.41,37.5,21.74,12.9,32.23,51.13,30.87,1200000,August 2021,85000 liters,Upsize
South,Modern Trade,MegaBeverages,Tea,Flavored Water,46010,17419,0,69.7,57.46,10.04,26.12,26.0,63.13,36.5,1200000,2021-08-01,70 kiloliters,Downsize
North,Modern Trade,SmallBrand,SOFT DRINKS,Green Tea,63077,13857,-2.5,69.28,68.27,5.38,22.53,14.07,62.84,42.33,500000.0,2021/11/15,70 kiloliters,New Segment
CENTRAL,Modern Trade,FreshDrinks,Water,Diet Soda,76908,10175,5.0,63.27,67.55,22.01,28.52,10.82,30.68,33.26,1200000,August 2021,85 kiloliters,New Flavor
CENTRAL,Traditional Trade,FreshDrinks,Soft Drinks,Flavored Water,57961,21557,15.0,85.34,37.66,6.17,28.26,35.39,41.37,42.74,1200000,2022-03,70 kiloliters,New Flavor
south,Traditional Trade,FreshDrinks,Water,Sparkling Water,38971,20653,unknown,39.35,61.07,24.32,12.09,33.76,58.95,48.45,100000,August 2021,70 kiloliters,Downsize
CENTRAL,Traditional Trade,BigCo,water,Flavored Water,80672,17882,0,51.74,75.71,31.26,13.96,10.73,21.22,34.78,500000.0,2020-12,85000 liters,Upsize
CENTRAL,Modern Trade,BigCo,Water,Sparkling Water,90150,14226,10.5,73.1,53.26,41.37,8.42,3.35,18.23,24.75,string_value,2021-08-01,85 kiloliters,Upsize
South,Modern Trade,MegaBeverages,TEA,Flavored Water,41994,13145,0,78.37,75.53,33.93,20.16,32.57,59.89,42.35,1200000,2020-12,85000 liters,Repackage
Central,Traditional Trade,BigCo,soft drinks,Diet Soda,94218,12860,-2.5,58.29,45.19,3.26,11.57,25.39,30.48,39.9,1200000,2021/11/15,85000 liters,Upsize
central,Traditional Trade,MegaBeverages,water,Diet Soda,26153,27588,15.0,91.28,85.71,15.37,23.8,5.83,54.61,38.93,string_value,2022-03,70000 liters,Downsize
CENTRAL,Traditional Trade,TinyStartups,Water,Flavored Water,19924,19948,-2.5,59.08,57.37,14.4,4.52,24.32,35.06,32.43,100000,2021-08-01,70 kiloliters,Downsize
North,Traditional Trade,TinyStartups,tea,Green Tea,75330,12930,5.0,58.19,61.72,45.75,4.38,19.18,28.09,43.82,500000.0,August 2021,85000 liters,Repackage
SOUTH,Traditional Trade,FreshDrinks,Soft Drinks,Diet Soda,46084,18625,-2.5,32.53,22.2,43.39,6.93,31.43,59.61,49.17,100000,2022-03,85000 liters,Downsize
SOUTH,Modern Trade,TinyStartups,SOFT DRINKS,Sparkling Water,79185,15905,unknown,68.58,31.92,18.51,3.44,9.95,70.92,30.21,300000.50,August 2021,85000 liters,New Flavor
south,Modern Trade,FreshDrinks,tea,Sparkling Water,123286,13059,-2.5,79.61,64.31,3.56,18.98,19.22,31.88,24.47,1200000,2021/11/15,70 kiloliters,Upsize
NORTH,Modern Trade,MegaBeverages,Tea,Herbal Tea,72044,13267,-2.5,38.01,49.39,44.71,5.27,7.94,53.1,23.83,300000.50,2021-08-01,70 kiloliters,Completely New
north,Traditional Trade,BigCo,soft drinks,Sparkling Water,35736,12725,15.0,51.38,55.57,44.41,5.64,38.39,68.26,37.39,1200000,2021/11/15,70 kiloliters,New Flavor
South,Modern Trade,MegaBeverages,tea,Herbal Tea,52072,19901,5.0,84.69,24.41,42.74,1.41,31.59,26.92,28.34,300000.50,2021/11/15,85 kiloliters,Downsize
North,Modern Trade,FreshDrinks,SOFT DRINKS,Flavored Water,36453,26193,unknown,55.61,78.39,42.25,23.68,30.0,48.38,28.68,string_value,2021/11/15,85000 liters,Repackage
South,Modern Trade,MegaBeverages,Soft Drinks,Flavored Water,51888,17095,5.0,46.91,74.92,24.01,24.56,28.23,36.51,46.72,1200000,2021/11/15,70 kiloliters,Downsize
North,Modern Trade,FreshDrinks,Water,Flavored Water,77943,15505,-2.5,77.05,32.97,8.87,5.7,18.09,50.77,21.31,1200000,August 2021,85000 liters,Upsize
central,Modern Trade,BigCo,WATER,Green Tea,78259,17272,10.5,43.77,64.4,23.87,22.45,37.08,72.56,47.17,300000.50,2020-12,85 kiloliters,New Flavor
central,Traditional Trade,FreshDrinks,SOFT DRINKS,Green Tea,87918,16479,10.5,92.7,77.28,24.73,13.57,4.77,50.86,40.07,500000.0,August 2021,70000 liters,Upsize
South,Modern Trade,TinyStartups,Soft Drinks,Herbal Tea,85828,13338,15.0,37.39,64.86,24.5,7.95,32.52,42.53,23.47,300000.50,2022-03,85 kiloliters,New Flavor
North,Traditional Trade,FreshDrinks,soft drinks,Sparkling Water,66954,15821,-2.5,79.46,41.73,26.94,19.02,10.18,38.91,27.56,1200000,2021/11/15,70 kiloliters,Completely New
North,Traditional Trade,SmallBrand,SOFT DRINKS,Sparkling Water,33930,18200,5.0,64.97,65.93,12.88,6.18,14.31,25.08,25.98,1200000,2022-03,70 kiloliters,New Segment
central,Traditional Trade,TinyStartups,SOFT DRINKS,Flavored Water,37416,16351,5.0,90.9,34.73,18.31,22.95,21.74,43.71,22.46,500000.0,August 2021,85 kiloliters,New Segment
Central,Traditional Trade,SmallBrand,soft drinks,Diet Soda,121948,11331,-2.5,38.83,42.28,21.71,2.38,31.74,43.08,35.22,100000,2021/11/15,85000 liters,Upsize
north,Traditional Trade,SmallBrand,Tea,Green Tea,82340,20483,10.5,77.45,36.8,6.56,28.81,33.86,67.25,29.99,500000.0,August 2021,70 kiloliters,New Flavor
NORTH,Modern Trade,TinyStartups,soft drinks,Green Tea,43390,9157,-2.5,70.04,58.98,22.77,3.08,24.18,29.49,35.09,100000,2021/11/15,70 kiloliters,New Flavor
North,Modern Trade,FreshDrinks,TEA,Flavored Water,50014,15500,unknown,63.61,27.58,40.52,17.8,17.32,55.35,48.32,1200000,August 2021,85 kiloliters,New Flavor
north,Traditional Trade,BigCo,tea,Green Tea,87578,10631,15.0,64.4,85.33,41.4,27.16,37.97,40.74,37.31,string_value,2021-08-01,85000 liters,Upsize
north,Traditional Trade,MegaBeverages,Soft Drinks,Flavored Water,91341,18087,5.0,80.54,43.35,20.58,1.35,11.37,22.24,48.39,string_value,2020-12,85 kiloliters,Upsize
north,Traditional Trade,MegaBeverages,SOFT DRINKS,Herbal Tea,74472,12297,5.0,95.64,35.33,25.94,15.46,32.52,28.37,38.79,300000.50,2020-12,85 kiloliters,Upsize
SOUTH,Modern Trade,MegaBeverages,tea,Sparkling Water,124142,11694,-2.5,36.39,54.76,1.68,11.15,25.26,49.76,44.86,500000.0,2021/11/15,85000 liters,Upsize
North,Traditional Trade,MegaBeverages,Tea,Diet Soda,50249,12263,-2.5,31.37,39.39,33.72,17.83,16.32,52.17,31.46,500000.0,2021-08-01,85000 liters,Completely New
central,Modern Trade,SmallBrand,Soft Drinks,Sparkling Water,82262,13567,10.5,86.4,57.44,20.23,7.54,2.05,30.06,30.72,string_value,2022-03,70000 liters,New Flavor
South,Traditional Trade,TinyStartups,Soft Drinks,Sparkling Water,50152,23807,15.0,37.57,44.4,22.27,2.88,18.97,30.4,46.75,100000,2021-08-01,85 kiloliters,Downsize
north,Modern Trade,TinyStartups,Tea,Herbal Tea,54227,14265,10.5,99.07,29.24,43.68,19.15,12.52,35.66,40.86,500000.0,2021/11/15,85000 liters,New Flavor
Central,Traditional Trade,MegaBeverages,Tea,Green Tea,113295,14720,0,73.35,38.61,23.09,13.09,5.97,52.24,44.93,100000,2021-08-01,70 kiloliters,Upsize
SOUTH,Modern Trade,BigCo,Tea,Diet Soda,32120,15608,15.0,75.56,50.69,1.06,19.05,4.86,69.26,29.31,100000,2022-03,70000 liters,New Flavor
central,Traditional Trade,BigCo,WATER,Green Tea,44093,19744,5.0,43.92,22.12,11.37,7.11,15.21,70.92,49.52,100000,2021/11/15,85 kiloliters,Downsize
north,Modern Trade,MegaBeverages,Tea,Sparkling Water,83606,18646,15.0,46.82,73.94,23.78,10.82,25.36,42.73,44.14,100000,2020-12,85000 liters,New Flavor
NORTH,Modern Trade,BigCo,Water,Flavored Water,41216,16688,5.0,76.15,63.53,21.22,17.29,33.83,69.95,22.48,300000.50,2021-08-01,70000 liters,New Flavor
