Region,Sales Channel,Company/Provider,Category,Segment,Volume Sales (Liters),Avg Price Per Liter (VND),Growth Rate (%),Numeric Distribution (%),Weighted Distribution (%),Out-of-Stock Rate (%),Market Share (%),Share of Shelf (%),Trial Rate (%),Repeat Rate (%),Sales Value (USD),Time,Volume Sales
NORTH RURAL,Traditional Trade,URZ,Juices,URZ Fresh,100000,8713,nan,80,85,5.0,25,35,50,40,36304.17,2021-05-01 00:00:00,100.0 kiloliters
NORTH RURAL,Traditional Trade,Vinalac,Yogurt Drinks,Probee,100000,9536,7,80,85,5.0,25,35,50,40,39733.33,2024-03-01 00:00:00,100000 liters
NORTH RURAL,Traditional Trade,Vinalac,YOGURT DRINKS,Probee,100000,9536,unknown,80,85,5.0,25,35,50,40,39733.33,2024-11-01 00:00:00,100.0 kiloliters
CENTRAL URBAN,Modern Trade,URZ,Null,Great Aqua,80000,9922,unknown,75,80,6.0,20,30,45,35,,2022-01-01 00:00:00,80000 liters
CENTRAL URBAN,Modern Trade,Cora Cale,JUICES,Pure Juice,80000,8048,unknown,75,80,6.0,20,30,45,35,26826.67,2020-02-01 00:00:00,80000 liters
SOUTH URBAN,Modern Trade,Tran Hip Pat,Energy Drinks,Numba One Power,150000,8504,8,95,98,3.0,35,45,60,50,53150.0,2020-01-01 00:00:00,150.0 kiloliters
north rural,Traditional Trade,Cora Cale,Water,Flavored Aqua,100000,8815,,80,85,5.0,25,35,50,40,36729.17,April 2024,100.0 kiloliters
NORTH RURAL,Traditional Trade,Sentry Pepso,WATER,Aquavena,100000,8570,7,80,85,5.0,25,35,50,40,35708.33,2020-11-01 00:00:00,100.0 kiloliters
north urban,Modern Trade,Vinalac,Milk,Vinalac Pure,120000,8838,5,90,95,4.0,30,40,55,45,44190.0,December 2020,120.0 kiloliters
SOUTH RURAL,Traditional Trade,Cora Cale,JUICES,Nectar Bliss,NULL,8821,3,70,75,6.0,20,30,50,40,NULL,2021-08-01 00:00:00,NULL
NORTH RURAL,Traditional Trade,URZ,JUICES,URZ Fresh,100000,8713,7,80,85,5.0,25,35,50,40,,2024-01-01 00:00:00,100.0 kiloliters
NORTH URBAN,Modern Trade,Tran Hip Pat,Herbal Tea,Dr Tien,,8758,5,90,95,4.0,30,40,55,45,43790.0,June 2024, liters
north urban,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Lite Soda,120000,8115,5,90,95,4.0,30,40,55,45,40575.0,2020-06-01 00:00:00,120000 liters
south rural,Traditional Trade,Tran Hip Pat,Juices,THP Prime,70000,8031,3,70,75,6.0,20,30,50,40,23423.75,2022-02-01 00:00:00,70000 liters
north urban,Modern Trade,Tran Hip Pat,Herbal Tea,Dr Tien,120000,NULL,5,90,95,4.0,30,40,55,45,43790.0,2024-11-01 00:00:00,120000 liters
CENTRAL RURAL,Traditional Trade,Sentry Pepso,Energy Drinks,Boostade,50000,9919,unknown,65,70,7.0,15,25,40,30,20664.58,February 2024,50.0 kiloliters
central urban,Traditional Trade,Small Co E,ENERGY DRINKS,Soda Spark,40983,9366,unknown,31,34,12.0,3,5,11,17,3275.45,December 2020,40983 liters
NORTH URBAN,Modern Trade,Tran Hip Pat,Null,Dr Tien,120000,8758,5,90,95,4.0,30,40,55,45,NULL,2021-12-01 00:00:00,120.0 kiloliters
SOUTH RURAL,Traditional Trade,Tran Hip Pat,JUICES,THP Prime,70000,8031,3,70,75,6.0,20,30,50,40,23423.75,N/A,70.0 kiloliters
central urban,Modern Trade,Tran Hip Pat,JUICES,THP Fresh,80000,8438,4,75,80,6.0,20,30,45,35,28126.67,2022-07-01 00:00:00,80000 liters
south urban,Modern Trade,Vinalac,YOGURT DRINKS,Probee Light,150000,9729,8,95,98,83.72784645548322,35,45,60,50,60806.25,2023-07-01 00:00:00,150000 liters
south urban,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Classic,150000,8864,8,95,98,3.0,35,45,60,50,55400.0,2020-04-01 00:00:00,150.0 kiloliters
CENTRAL RURAL,Traditional Trade,Sentry Pepso,ENERGY DRINKS,Boostade,50000,9919,NULL,65,70,7.0,15,25,40,30,,2020-11-01 00:00:00,50.0 kiloliters
central rural,Traditional Trade,Sentry Pepso,ENERGY DRINKS,Boostade,50000,NULL,6,65,70,7.0,15,25,40,30,20664.58,2024-06-01 00:00:00,50000 liters
south rural,Traditional Trade,Tran Hip Pat,JUICES,THP Prime,70000,8031,3,70,75,6.0,20,30,50,40,23423.75,June 2024,70000 liters
null,Modern Trade,Tran Hip Pat,Juices,THP Fresh,80000,8438,4,75,80,6.0,20,30,45,35,28126.67,2022-12-01 00:00:00,80.0 kiloliters
CENTRAL URBAN,Modern Trade,Small Co D,ENERGY DRINKS,Juice Bliss,24203,9984,-8,26,11,14.0,5,10,18,8,2587.38,2021-02-01 00:00:00,24.203 kiloliters
CENTRAL URBAN,Modern Trade,Cora Cale,JUICES,Pure Juice,80000,,4,75,80,6.0,20,30,45,35,26826.67,2021-07-01 00:00:00,80000 liters
south rural,Traditional Trade,Vinalac,Milk Tea,Vinalac Prime Tea,nan,NULL,3,70,75,6.0,20,30,50,40,28160.42,2020-04-01 00:00:00,nan
central rural,Traditional Trade,URZ,SNACK DRINKS,CeeTwo Light,50000,9048,unknown,65,70,7.0,15,25,40,30,18850.0,2024-06-01 00:00:00,50000 liters
NORTH RURAL,Traditional Trade,Tran Hip Pat,ENERGY DRINKS,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,2022-11-01 00:00:00,100000 liters
SOUTH URBAN,Modern Trade,Vinalac,YOGURT DRINKS,Probee Light,,9729,8,95,98,3.0,35,45,60,50,60806.25,2024-03-01 00:00:00,
NORTH RURAL,Traditional Trade,URZ,JUICES,URZ Fresh,100000,8713,7,80,85,5.0,25,35,50,40,N/A,June 2020,100000 liters
CENTRAL RURAL,Traditional Trade,Tran Hip Pat,HERBAL TEA,Dr Tien Light,50000,8951,6,65,70,7.0,15,25,40,30,18647.92,December 2023,50000 liters
,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Classic,150000,,unknown,95,98,3.0,35,45,60,50,55400.0,2024-03-01 00:00:00,150.0 kiloliters
SOUTH URBAN,Modern Trade,Vinalac,Yogurt Drinks,Probee Light,150000,9729,8,95,98,3.0,35,45,60,50,NULL,2020-04-01 00:00:00,150000 liters
north rural,Traditional Trade,Tran Hip Pat,ENERGY DRINKS,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,,100.0 kiloliters
south rural,Traditional Trade,Tran Hip Pat,Juices,THP Prime,NULL,8031,3,70,75,6.0,20,30,50,40,23423.75,August 2024,NULL liters
central rural,Traditional Trade,Cora Cale,ENERGY DRINKS,Energy Boost,N/A,9715,6,65,70,7.0,15,25,40,30,20239.58,2024-04-01 00:00:00,N/A liters
south rural,Traditional Trade,URZ,WATER,Great Elite,70000,9991,3,70,75,6.0,20,30,50,40,29140.42,June 2024,70000 liters
SOUTH URBAN,Modern Trade,URZ,Juices,URZ Prime,N/A,9958,unknown,95,98,3.0,35,45,60,50,62237.5,2024-07-01 00:00:00,N/A
NORTH RURAL,Traditional Trade,Sentry Pepso,Nan,Aquavena,100000,8570,unknown,80,85,5.0,25,35,50,40,35708.33,2021-12-01 00:00:00,100.0 kiloliters
NORTH RURAL,Traditional Trade,Cora Cale,WATER,Flavored Aqua,100000,8815,unknown,80,85,5.0,25,35,50,40,36729.17,2023-07-01 00:00:00,100.0 kiloliters
north rural,Traditional Trade,Tran Hip Pat,ENERGY DRINKS,Numba One,100000,9520,unknown,80,85,5.0,25,35,50,40,39666.67,2023-04-01 00:00:00,100000 liters
SOUTH URBAN,Modern Trade,Tran Hip Pat,ENERGY DRINKS,Numba One Power,150000,8504,8,95,98,3.0,35,45,60,50,53150.0,2023-09-01 00:00:00,150000 liters
central urban,Modern Trade,Cora Cale,Juices,Pure Juice,80000,NULL,4,75,80,6.0,20,30,45,35,26826.67,N/A,80.0 kiloliters
central urban,Modern Trade,Cora Cale,Juices,Pure Juice,80000,8048,4,75,80,6.0,20,30,45,35,26826.67,2024-03-01 00:00:00,80.0 kiloliters
SOUTH RURAL,Traditional Trade,Tran Hip Pat,Juices,THP Prime,70000,8031,3,70,75,6.0,20,30,50,40,23423.75,2022-09-01 00:00:00,70.0 kiloliters
NULL,Traditional Trade,URZ,Juices,URZ Fresh,100000,8713,unknown,80,85,5.0,25,35,50,40,36304.17,2020-01-01 00:00:00,100000 liters
NULL,Modern Trade,Cora Cale,Carbonated Soft Drinks,Lite Soda,120000,8115,5,90,95,4.0,30,40,55,45,40575.0,2020-06-01 00:00:00,120.0 kiloliters
central urban,Modern Trade,Cora Cale,Juices,Pure Juice,80000,8048,4,75,80,6.0,20,30,45,35,NULL,2024-08-01 00:00:00,80.0 kiloliters
CENTRAL URBAN,Modern Trade,Tran Hip Pat,,THP Fresh,80000,8438,4,75,80,6.0,20,30,45,35,28126.67,2020-07-01 00:00:00,80.0 kiloliters
north rural,Traditional Trade,Sentry Pepso,Water,Aquavena,100000,8570,unknown,80,85,5.0,25,35,50,40,35708.33,August 2024,100.0 kiloliters
NORTH RURAL,Traditional Trade,Cora Cale,Water,Flavored Aqua,100000,,unknown,80,85,5.0,25,35,50,40,36729.17,2020-01-01 00:00:00,100.0 kiloliters
NORTH URBAN,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Lite Soda,120000,8115,5,90,95,4.0,30,40,55,45,40575.0,2021-02-01 00:00:00,120.0 kiloliters
south rural,Traditional Trade,Cora Cale,Juices,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,25727.92,2023-12-01 00:00:00,70.0 kiloliters
central rural,Traditional Trade,Tran Hip Pat,Herbal Tea,Dr Tien Light,50000,8951,6,65,70,7.0,15,25,40,30,18647.92,2021-08-01 00:00:00,50.0 kiloliters
SOUTH RURAL,Traditional Trade,Tran Hip Pat,N/A,THP Prime,NULL,8031,3,70,75,6.0,20,30,50,40,23423.75,2023-05-01 00:00:00,NULL
NORTH URBAN,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Zero,120000,8602,,90,95,4.0,30,40,55,45,43010.0,May 2024,120.0 kiloliters
N/A,Traditional Trade,Tran Hip Pat,JUICES,THP Prime,70000,8031,3,70,75,74.97930206388949,20,30,50,40,23423.75,April 2022,70000 liters
NORTH URBAN,Modern Trade,Tran Hip Pat,Herbal Tea,Dr Tien,120000,nan,unknown,90,95,4.0,30,40,55,45,43790.0,,120.0 kiloliters
N/A,Traditional Trade,Vinalac,Yogurt Drinks,Probee,100000,9536,unknown,80,85,5.0,25,35,50,40,39733.33,January 2025,100.0 kiloliters
north rural,Traditional Trade,Tran Hip Pat,ENERGY DRINKS,Numba One,100000,9520,unknown,80,85,5.0,25,35,50,40,39666.67,May 2020,100.0 kiloliters
SOUTH URBAN,Modern Trade,Vinalac,YOGURT DRINKS,Probee Light,N/A,N/A,unknown,95,98,3.0,35,45,60,50,60806.25,NULL,N/A liters
south rural,Traditional Trade,Tran Hip Pat,Juices,THP Prime,70000,8031,unknown,70,75,6.0,20,30,50,40,N/A,2023-01-01 00:00:00,70.0 kiloliters
NORTH URBAN,Modern Trade,Sentry Pepso,NULL,Pepso Zero,120000,8602,N/A,90,95,4.0,30,40,55,45,43010.0,February 2024,120000 liters
nan,Traditional Trade,Tran Hip Pat,HERBAL TEA,Dr Tien Light,NULL,8951,unknown,65,70,7.0,15,25,40,30,N/A,2021-11-01 00:00:00,NULL
central rural,Traditional Trade,Cora Cale,Energy Drinks,Energy Boost,nan,nan,6,65,70,7.0,15,25,40,30,20239.58,NULL,nan
central urban,Modern Trade,Cora Cale,Juices,Pure Juice,80000,8048,4,75,80,6.0,20,30,45,35,26826.67,October 2020,80.0 kiloliters
north urban,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Zero,120000,8602,5,90,95,4.0,30,40,55,45,43010.0,2023-05-01 00:00:00,120000 liters
SOUTH RURAL,Traditional Trade,Cora Cale,JUICES,Nectar Bliss,NULL,8821,3,70,75,6.0,20,30,50,40,25727.92,2021-11-01 00:00:00,NULL liters
n/a,Traditional Trade,Cora Cale,Juices,Nectar Bliss,70000,NULL,NULL,70,75,6.0,20,30,50,40,25727.92,2024-09-01 00:00:00,70000 liters
CENTRAL URBAN,Modern Trade,Vinalac,MILK TEA,Vinalac Tea,80000,8477,4,75,80,6.0,20,30,45,35,28256.67,2023-03-01 00:00:00,80000 liters
central urban,Modern Trade,Tran Hip Pat,JUICES,THP Fresh,80000,8438,N/A,75,80,6.0,20,30,45,35,28126.67,2023-07-01 00:00:00,80000 liters
NORTH URBAN,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Lite Soda,120000,8115,nan,90,95,4.0,30,40,55,45,40575.0,N/A,120.0 kiloliters
CENTRAL RURAL,Traditional Trade,URZ,Snack Drinks,CeeTwo Light,50000,9048,unknown,65,70,7.0,15,25,40,30,18850.0,March 2020,50.0 kiloliters
north urban,Modern Trade,Tran Hip Pat,HERBAL TEA,Dr Tien,120000,8758,5,90,95,4.0,30,40,55,45,43790.0,December 2021,120000 liters
NORTH RURAL,Traditional Trade,Tran Hip Pat,Energy Drinks,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,NULL,100000 liters
north urban,Modern Trade,Cora Cale,Carbonated Soft Drinks,Lite Soda,,8115,5,90,95,4.0,30,40,55,45,40575.0,November 2024, liters
SOUTH URBAN,Modern Trade,Tran Hip Pat,ENERGY DRINKS,Numba One Power,150000,8504,unknown,95,98,3.0,35,45,60,50,53150.0,December 2021,150000 liters
CENTRAL URBAN,Modern Trade,URZ,Water,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,2021-04-01 00:00:00,80000 liters
south rural,Traditional Trade,Tran Hip Pat,Nan,THP Prime,,NULL,N/A,70,75,6.0,20,30,50,40,,2021-10-01 00:00:00, liters
CENTRAL URBAN,Modern Trade,Cora Cale,JUICES,Pure Juice,80000,8048,unknown,75,80,6.0,20,30,45,35,26826.67,February 2023,80000 liters
SOUTH URBAN,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Classic Soda,150000,9339,unknown,95,98,3.0,35,45,60,50,58368.75,2020-05-01 00:00:00,150000 liters
north urban,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Lite Soda,120000,8115,5,90,95,4.0,30,40,55,45,40575.0,February 2024,120000 liters
north urban,Traditional Trade,Small Co J,MILK,Healthy Sip,30782,NULL,-8,14,46,8.0,4,1,11,11,2934.94,2022-03-01 00:00:00,30.782 kiloliters
south urban,Modern Trade,URZ,Juices,URZ Prime,nan,9958,8,95,98,3.0,35,45,60,50,NULL,2021-12-01 00:00:00,nan
CENTRAL RURAL,Traditional Trade,Tran Hip Pat,Herbal Tea,Dr Tien Light,50000,8951,6,65,70,7.0,15,25,40,30,18647.92,nan,50.0 kiloliters
central rural,Traditional Trade,URZ,SNACK DRINKS,CeeTwo Light,50000,9048,6,65,70,7.0,15,25,40,30,18850.0,August 2024,50.0 kiloliters
south urban,Modern Trade,Vinalac,Yogurt Drinks,Probee Light,150000,NULL,unknown,95,98,3.0,35,45,60,50,60806.25,2020-02-01 00:00:00,150.0 kiloliters
CENTRAL URBAN,Modern Trade,Cora Cale,Juices,Pure Juice,80000,nan,4,75,80,6.0,20,30,45,35,26826.67,N/A,80.0 kiloliters
SOUTH URBAN,Modern Trade,Vinalac,YOGURT DRINKS,Probee Light,150000,9729,8,95,98,3.0,35,45,60,50,60806.25,NULL,150.0 kiloliters
,Modern Trade,Vinalac,Milk,Vinalac Pure,120000,8838,unknown,90,95,4.0,30,40,55,45,44190.0,November 2024,120.0 kiloliters
north rural,Traditional Trade,URZ,NAN,URZ Fresh,100000,8713,7,80,85,5.0,25,35,50,40,36304.17,2023-01-01 00:00:00,100.0 kiloliters
central rural,Traditional Trade,Vinalac,Milk,Vinalac Sweet,50000,9362,unknown,65,70,7.0,15,25,40,30,19504.17,2021-03-01 00:00:00,50.0 kiloliters
NORTH URBAN,Modern Trade,Vinalac,Milk,Vinalac Pure,120000,8838,unknown,90,95,83.02489928056207,30,40,55,45,44190.0,June 2024,120000 liters
NORTH URBAN,Modern Trade,Vinalac,MILK,Vinalac Pure,120000,8838,unknown,90,95,4.0,30,40,55,45,44190.0,2022-11-01 00:00:00,120000 liters
NORTH RURAL,Traditional Trade,URZ,JUICES,URZ Fresh,100000,8713,unknown,80,85,5.0,25,35,50,40,36304.17,2024-10-01 00:00:00,100.0 kiloliters
north urban,Modern Trade,URZ,SNACK DRINKS,CeeTwo,120000,9010,5,90,95,4.0,30,40,55,45,45050.0,2024-03-01 00:00:00,120000 liters
CENTRAL URBAN,Modern Trade,URZ,Water,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,2021-08-01 00:00:00,80.0 kiloliters
CENTRAL RURAL,Traditional Trade,Tran Hip Pat,HERBAL TEA,Dr Tien Light,50000,8951,unknown,65,70,7.0,15,25,40,30,18647.92,2023-01-01 00:00:00,50.0 kiloliters
,Traditional Trade,Vinalac,Milk Tea,Vinalac Prime Tea,70000,9655,3,70,75,6.0,20,30,50,40,28160.42,April 2024,70000 liters
,Traditional Trade,Sentry Pepso,ENERGY DRINKS,Boostade,50000,9919,NULL,65,70,7.0,15,25,40,30,nan,February 2022,50000 liters
central rural,Traditional Trade,Sentry Pepso,Energy Drinks,Boostade,50000,9919,6,65,70,7.0,15,25,40,30,NULL,December 2020,50.0 kiloliters
north urban,Modern Trade,URZ,Snack Drinks,CeeTwo,120000,9010,,90,95,4.0,30,40,55,45,45050.0,2024-06-01 00:00:00,120.0 kiloliters
,Traditional Trade,URZ,Snack Drinks,CeeTwo Light,50000,9048,6,65,70,7.0,15,25,40,30,18850.0,2024-12-01 00:00:00,50.0 kiloliters
south urban,Modern Trade,Vinalac,Yogurt Drinks,Probee Light,150000,9729,8,95,98,3.0,35,45,60,50,60806.25,June 2022,150.0 kiloliters
CENTRAL URBAN,Traditional Trade,Small Co F,Carbonated Soft Drinks,Tea Tonic,33868,9592,-7,33,30,20.0,3,9,14,11,3193.26,2023-04-01 00:00:00,33.868 kiloliters
south rural,Traditional Trade,Tran Hip Pat,JUICES,THP Prime,70000,8031,3,70,75,59.74031610396472,20,30,50,40,23423.75,2023-01-01 00:00:00,70000 liters
north urban,Modern Trade,Tran Hip Pat,HERBAL TEA,Dr Tien,120000,N/A,5,90,95,4.0,30,40,55,45,43790.0,2023-05-01 00:00:00,120.0 kiloliters
NORTH URBAN,Modern Trade,URZ,Snack Drinks,CeeTwo,120000,9010,5,90,95,4.0,30,40,55,45,45050.0,August 2022,120.0 kiloliters
SOUTH RURAL,Traditional Trade,Vinalac,N/A,Vinalac Prime Tea,70000,9655,3,70,75,6.0,20,30,50,40,28160.42,December 2022,70000 liters
NORTH RURAL,Traditional Trade,Vinalac,N/A,Probee,100000,9536,,80,85,5.0,25,35,50,40,39733.33,November 2020,100.0 kiloliters
SOUTH URBAN,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Classic,150000,N/A,8,95,98,3.0,35,45,60,50,55400.0,2023-05-01 00:00:00,150000 liters
central urban,Modern Trade,Tran Hip Pat,Juices,THP Fresh,80000,8438,unknown,75,80,6.0,20,30,45,35,28126.67,August 2022,80000 liters
central rural,Traditional Trade,Sentry Pepso,ENERGY DRINKS,Boostade,N/A,9919,6,65,70,7.0,15,25,40,30,20664.58,2023-05-01 00:00:00,N/A
NAN,Traditional Trade,Small Co B,Snack Drinks,Pure Aqua,17719,N/A,-2,19,23,8.0,2,5,27,8,1519.44,NULL,17.719 kiloliters
central urban,Modern Trade,Cora Cale,JUICES,Pure Juice,,8048,unknown,75,80,6.0,20,30,45,35,,, liters
nan,Modern Trade,Vinalac,Milk,Vinalac Pure,N/A,8838,5,90,95,4.0,30,40,55,45,44190.0,2021-10-01 00:00:00,N/A
north rural,Traditional Trade,Sentry Pepso,,Aquavena,100000,8570,unknown,80,85,5.0,25,35,50,40,35708.33,June 2021,100.0 kiloliters
SOUTH URBAN,Modern Trade,Tran Hip Pat,ENERGY DRINKS,Numba One Power,150000,8504,unknown,95,98,57.91443695844799,35,45,60,50,53150.0,,150.0 kiloliters
south rural,Traditional Trade,Cora Cale,Null,Nectar Bliss,70000,8821,unknown,70,75,6.0,20,30,50,40,25727.92,2023-02-01 00:00:00,70000 liters
SOUTH URBAN,Modern Trade,Tran Hip Pat,ENERGY DRINKS,Numba One Power,150000,8504,8,95,98,3.0,35,45,60,50,53150.0,nan,150000 liters
central rural,Traditional Trade,Vinalac,Milk,Vinalac Sweet,50000,nan,unknown,65,70,7.0,15,25,40,30,19504.17,2023-02-01 00:00:00,50.0 kiloliters
SOUTH URBAN,Modern Trade,URZ,Null,URZ Prime,150000,9958,8,95,98,3.0,35,45,60,50,62237.5,2022-10-01 00:00:00,150.0 kiloliters
NORTH RURAL,Traditional Trade,Tran Hip Pat,Energy Drinks,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,June 2020,100.0 kiloliters
central rural,Traditional Trade,Tran Hip Pat,Herbal Tea,Dr Tien Light,50000,8951,unknown,65,70,7.0,15,25,40,30,18647.92,2023-04-01 00:00:00,50000 liters
south urban,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Classic Soda,150000,9339,unknown,95,98,3.0,35,45,60,50,,2021-06-01 00:00:00,150000 liters
NORTH URBAN,Modern Trade,URZ,,CeeTwo,120000,9010,unknown,90,95,4.0,30,40,55,45,45050.0,2022-04-01 00:00:00,120000 liters
central rural,Traditional Trade,Vinalac,Milk,Vinalac Sweet,50000,9362,unknown,65,70,65.48761481467213,15,25,40,30,19504.17,February 2024,50000 liters
SOUTH URBAN,Modern Trade,Small Co H,MILK TEA,Aqua Zest,33541,NULL,-9,27,21,10.0,5,3,11,13,3924.3,2020-06-01 00:00:00,33541 liters
south rural,Traditional Trade,Sentry Pepso,JUICES,Tropicola Bliss,70000,9165,unknown,70,75,6.0,20,30,50,40,26731.25,2024-09-01 00:00:00,70.0 kiloliters
SOUTH URBAN,Modern Trade,Cora Cale,Carbonated Soft Drinks,Classic Soda,150000,9339,unknown,95,98,3.0,35,45,60,50,58368.75,2024-08-01 00:00:00,150000 liters
central rural,Traditional Trade,URZ,Snack Drinks,CeeTwo Light,50000,9048,unknown,65,70,7.0,15,25,40,30,18850.0,nan,50000 liters
SOUTH RURAL,Traditional Trade,Cora Cale,JUICES,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,25727.92,2024-12-01 00:00:00,70.0 kiloliters
central urban,Modern Trade,URZ,Water,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,2024-06-01 00:00:00,80.0 kiloliters
NORTH URBAN,Modern Trade,Small Co F,MILK TEA,Tea Tonic,16272,NULL,-1,35,18,19.0,2,2,29,11,1315.19,2023-05-01 00:00:00,16272 liters
n/a,Traditional Trade,Cora Cale,Energy Drinks,Energy Boost,,9715,6,65,70,7.0,15,25,40,30,20239.58,2022-10-01 00:00:00, liters
south urban,Modern Trade,Vinalac,YOGURT DRINKS,Probee Light,NULL,,8,95,98,3.0,35,45,60,50,60806.25,2021-03-01 00:00:00,NULL liters
SOUTH RURAL,Traditional Trade,URZ,NAN,Great Elite,70000,9991,unknown,70,75,6.0,20,30,50,40,29140.42,January 2021,70.0 kiloliters
SOUTH URBAN,Modern Trade,Cora Cale,Carbonated Soft Drinks,Classic Soda,NULL,9339,unknown,95,98,3.0,35,45,60,50,58368.75,2023-01-01 00:00:00,NULL
south rural,Traditional Trade,Vinalac,MILK TEA,Vinalac Prime Tea,70000,9655,3,70,75,6.0,20,30,50,40,28160.42,2023-06-01 00:00:00,70.0 kiloliters
south rural,Traditional Trade,URZ,Water,Great Elite,70000,9991,3,70,75,6.0,20,30,50,40,29140.42,2023-07-01 00:00:00,70000 liters
CENTRAL URBAN,Modern Trade,URZ,WATER,Great Aqua,80000,9922,,75,80,6.0,20,30,45,35,33073.33,2022-10-01 00:00:00,80.0 kiloliters
north rural,Traditional Trade,URZ,JUICES,URZ Fresh,100000,8713,7,80,85,5.0,25,35,50,40,36304.17,January 2020,100000 liters
CENTRAL RURAL,Traditional Trade,Cora Cale,ENERGY DRINKS,Energy Boost,50000,9715,unknown,65,70,7.0,15,25,40,30,20239.58,October 2022,50000 liters
south urban,Modern Trade,Cora Cale,N/A,Classic Soda,150000,9339,unknown,95,98,3.0,35,45,60,50,58368.75,2022-04-01 00:00:00,150.0 kiloliters
CENTRAL URBAN,Traditional Trade,Small Co J,Water,Healthy Sip,NULL,8999,-2,30,39,19.0,4,3,26,19,3396.86,January 2020,NULL
north urban,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Zero,120000,8602,5,90,95,4.0,30,40,55,45,43010.0,2023-03-01 00:00:00,120000 liters
CENTRAL RURAL,Traditional Trade,Tran Hip Pat,Herbal Tea,Dr Tien Light,50000,N/A,6,65,70,7.0,15,25,40,30,18647.92,2020-12-01 00:00:00,50000 liters
NORTH RURAL,Traditional Trade,Vinalac,YOGURT DRINKS,Probee,100000,9536,NULL,80,85,5.0,25,35,50,40,39733.33,2023-08-01 00:00:00,100000 liters
central rural,Traditional Trade,Sentry Pepso,ENERGY DRINKS,Boostade,50000,9919,6,65,70,7.0,15,25,40,30,20664.58,2021-10-01 00:00:00,50000 liters
central rural,Traditional Trade,Small Co F,Null,Tea Tonic,8723,8331,-10,19,26,14.0,5,4,17,20,2167.47,2020-09-01 00:00:00,8.723 kiloliters
NAN,Traditional Trade,Cora Cale,ENERGY DRINKS,Energy Boost,50000,9715,6,65,70,7.0,15,25,40,30,N/A,2020-03-01 00:00:00,50000 liters
central urban,Modern Trade,URZ,WATER,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,N/A,80000 liters
NORTH URBAN,Modern Trade,Vinalac,MILK,Vinalac Pure,NULL,8838,5,90,95,4.0,30,40,55,45,44190.0,August 2020,NULL liters
north urban,Modern Trade,URZ,SNACK DRINKS,CeeTwo,120000,9010,unknown,90,95,4.0,30,40,55,45,45050.0,2021-10-01 00:00:00,120.0 kiloliters
south urban,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Classic,150000,8864,8,95,98,3.0,35,45,60,50,55400.0,March 2022,150.0 kiloliters
south urban,Modern Trade,Tran Hip Pat,ENERGY DRINKS,Numba One Power,150000,8504,8,95,98,3.0,35,45,60,50,53150.0,2020-03-01 00:00:00,150000 liters
CENTRAL RURAL,Traditional Trade,Cora Cale,ENERGY DRINKS,Energy Boost,nan,9715,6,65,70,7.0,15,25,40,30,20239.58,February 2022,nan liters
SOUTH RURAL,Traditional Trade,Vinalac,MILK TEA,Vinalac Prime Tea,70000,9655,3,70,75,6.0,20,30,50,40,28160.42,2020-03-01 00:00:00,70000 liters
CENTRAL RURAL,Traditional Trade,URZ,SNACK DRINKS,CeeTwo Light,50000,9048,6,65,70,7.0,15,25,40,30,18850.0,2024-05-01 00:00:00,50.0 kiloliters
SOUTH URBAN,Modern Trade,Tran Hip Pat,ENERGY DRINKS,Numba One Power,150000,8504,8,95,98,3.0,35,45,60,50,53150.0,2020-12-01 00:00:00,150.0 kiloliters
SOUTH RURAL,Traditional Trade,Cora Cale,,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,N/A,2025-01-01 00:00:00,70000 liters
north rural,Traditional Trade,Tran Hip Pat,ENERGY DRINKS,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,N/A,100.0 kiloliters
NORTH RURAL,Traditional Trade,Vinalac,Yogurt Drinks,Probee,100000,9536,7,80,85,5.0,25,35,50,40,39733.33,February 2021,100.0 kiloliters
